Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
26857.0,2.7601135762746063,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,e84db6bc0dc720bc,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000019/MC_C_20211114_000019_R11_S02.fits
27003.0,1.8895779573766025,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment14,b9341e77f8e39678,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000024/MC_C_20211114_000024_R11_S02.fits
26824.0,3.606188552258167,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,b9341e77f8e39678,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000024/MC_C_20211114_000024_R11_S02.fits
26773.0,3.336119169293636,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment03,b9341e77f8e39678,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000024/MC_C_20211114_000024_R11_S02.fits
26436.0,2.492234015310745,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment13,894b722aba855a8c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000182/MC_C_20211114_000182_R11_S02.fits
26661.0,1.768168135708965,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment15,894b722aba855a8c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000182/MC_C_20211114_000182_R11_S02.fits
26981.0,3.806167304432317,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment06,894b722aba855a8c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000182/MC_C_20211114_000182_R11_S02.fits
26825.0,4.585045596773671,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,894b722aba855a8c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000182/MC_C_20211114_000182_R11_S02.fits
26825.0,3.631550825892963,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,3cea233cfe3a92a6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000221/MC_C_20211114_000221_R11_S02.fits
26683.0,2.751056924567706,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,3cea233cfe3a92a6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000221/MC_C_20211114_000221_R11_S02.fits
26856.0,2.613816182155416,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,3cea233cfe3a92a6,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000221/MC_C_20211114_000221_R11_S02.fits
26774.0,2.640899232111252,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment12,f95328ee33902c7e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000179/MC_C_20211114_000179_R11_S02.fits
26442.0,1.8706946375686857,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment13,f95328ee33902c7e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000179/MC_C_20211114_000179_R11_S02.fits
26825.0,2.6516992548263265,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment05,f95328ee33902c7e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000179/MC_C_20211114_000179_R11_S02.fits
26684.0,2.9358497141626145,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment04,f95328ee33902c7e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000179/MC_C_20211114_000179_R11_S02.fits
26855.0,2.199948119059114,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment02,f95328ee33902c7e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000179/MC_C_20211114_000179_R11_S02.fits
26438.0,2.456723388194181,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment13,d61299356aeddf3e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000217/MC_C_20211114_000217_R11_S02.fits
27005.0,1.6395167057765745,LCA-11021_RTM-020,E2V-CCD250-359,13035,Segment14,d61299356aeddf3e,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000217/MC_C_20211114_000217_R11_S02.fits
