Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
70170.0,1.7391166602123855,LCA-11021_RTM-022,ITL-3800C-203,13045,Segment02,6f2f7b091fe67634,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000005/MC_C_20211117_000005_R43_S11.fits
66530.0,1.0687202961699562,LCA-11021_RTM-018,ITL-3800C-019,13045,Segment00,6f2f7b091fe67634,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000005/MC_C_20211117_000005_R42_S10.fits
207012.0,7.4988199141954395,LCA-11021_RTM-008,E2V-CCD250-160,13045,Segment01,6f2f7b091fe67634,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000005/MC_C_20211117_000005_R34_S00.fits
69298.0,7.19791603711196,LCA-11021_RTM-021,ITL-3800C-355,13045,Segment16,6f2f7b091fe67634,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000005/MC_C_20211117_000005_R41_S02.fits
26826.0,3.794032790753947,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment05,eb58aa7207ad648c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000116/MC_C_20211117_000116_R11_S02.fits
27170.0,1.920785560703964,LCA-11021_RTM-020,E2V-CCD250-350,13053,Segment03,eb58aa7207ad648c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000116/MC_C_20211117_000116_R11_S20.fits
26655.0,1.006915005356894,LCA-11021_RTM-020,E2V-CCD250-319,13053,Segment13,8b19c642ee0f8d1c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000117/MC_C_20211117_000117_R11_S00.fits
209457.0,1.1739102893106244,LCA-11021_RTM-012,E2V-CCD250-358,13053,Segment10,8b19c642ee0f8d1c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000117/MC_C_20211117_000117_R30_S10.fits
33219.0,2.93613905030407,LCA-11021_RTM-014,ITL-3800C-225,13053,Segment04,8b19c642ee0f8d1c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000117/MC_C_20211117_000117_R20_S20.fits
26774.0,2.3665177023563935,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment12,8b19c642ee0f8d1c,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000117/MC_C_20211117_000117_R11_S02.fits
